Referencia,Tipo,Operacion,Provincia,Superficie,Precio-Venta,Fecha-Venta,Vendedor
44,Casa,Venta,Girona,278,1537062,16/12/2004,Maria
45,Oficina,Alquiler,Barcelona,287,2851058,02/01/2005,Joaquin
46,Oficina,Alquiler,Lleida,224,1294048,29/10/2004,Carmen
47,Piso,Alquiler,Barcelona,53,249418,11/08/2004,Luisa
48,Industrial,Venta,Barcelona,284,1457488,06/07/2004,Jesus
49,Local,Venta,Girona,40,321680,11/01/2005,Jesus
50,Local,Alquiler,Tarragona,235,957625,13/11/2004,Carmen
51,Industrial,Venta,Lleida,90,568620,14/12/2004,Joaquin
52,Local,Alquiler,Lleida,206,1605564,26/09/2004,Maria
53,Suelo,Alquiler,Tarragona,158,1438748,17/10/2004,Carmen
54,Suelo,Alquiler,Barcelona,71,686996,30/05/2004,Luisa
55,Local,Venta,Girona,127,983234,09/07/2004,Carmen
56,Piso,Venta,Lleida,54,239220,01/05/2004,Maria
57,Oficina,Alquiler,Lleida,54,512730,04/07/2004,Carmen
58,Local,Alquiler,Girona,274,2287626,21/12/2004,Maria
59,Industrial,Venta,Tarragona,166,1373816,19/11/2004,Joaquin
60,Oficina,Alquiler,Lleida,270,1920240,28/06/2004,Jesus
61,Casa,Venta,Tarragona,120,1140840,12/09/2004,Carmen
62,Industrial,Venta,Tarragona,178,1142938,23/01/2005,Joaquin
63,Piso,Venta,Barcelona,144,738144,06/09/2004,Luisa
64,Industrial,Venta,Lleida,57,509010,13/10/2004,Maria
65,Oficina,Venta,Tarragona,144,1436832,26/05/2004,Luisa
66,Suelo,Venta,Lleida,272,2119424,24/12/2004,Pedro
67,Industrial,Alquiler,Barcelona,219,948927,15/10/2004,Jesus
68,Local,Alquiler,Barcelona,68,376992,28/06/2004,Luisa
69,Local,Venta,Girona,248,2212408,09/10/2004,Maria
70,Casa,Alquiler,Tarragona,179,1647695,12/07/2004,Maria
71,Casa,Venta,Girona,235,1939925,01/11/2004,Carmen
72,Suelo,Venta,Tarragona,216,1478952,15/10/2004,Carmen
73,Parking,Alquiler,Barcelona,62,320044,04/09/2004,Joaquin
74,Industrial,Venta,Girona,229,1098055,22/10/2004,Joaquin
75,Suelo,Venta,Tarragona,41,187862,14/08/2004,Jesus
76,Suelo,Alquiler,Tarragona,234,1757106,28/12/2004,Pedro
77,Industrial,Alquiler,Tarragona,112,1104992,25/06/2004,Pedro
78,Piso,Venta,Lleida,87,448485,04/10/2004,Maria
79,Parking,Venta,Barcelona,298,2520484,27/11/2004,Carmen
80,Parking,Alquiler,Barcelona,217,1339107,05/10/2004,Carmen
81,Industrial,Alquiler,Barcelona,236,1812244,17/11/2004,Pedro
82,Parking,Venta,Girona,117,1069731,14/09/2004,Pedro
83,Suelo,Venta,Lleida,56,471072,29/05/2004,Maria
84,Piso,Venta,Barcelona,94,470940,28/07/2004,Carmen
85,Local,Alquiler,Barcelona,127,925322,03/06/2004,Joaquin
86,Piso,Venta,Girona,275,2141700,08/01/2005,Jesus
87,Industrial,Alquiler,Barcelona,93,778875,12/05/2004,Luisa
88,Parking,Alquiler,Tarragona,58,421196,10/10/2004,Pedro
89,Local,Alquiler,Barcelona,49,219716,27/09/2004,Jesus
90,Suelo,Venta,Girona,292,2685816,24/07/2004,Pedro
91,Industrial,Alquiler,Barcelona,123,723609,16/12/2004,Joaquin
92,Piso,Alquiler,Barcelona,48,388032,06/05/2004,Jesus
93,Industrial,Alquiler,Tarragona,132,922020,23/10/2004,Joaquin
94,Industrial,Alquiler,Barcelona,177,965358,08/06/2004,Luisa
95,Local,Venta,Barcelona,68,663816,23/05/2004,Joaquin
96,Industrial,Alquiler,Tarragona,103,728931,05/02/2005,Jesus
97,Suelo,Venta,Tarragona,96,625536,07/11/2004,Jesus
98,Casa,Venta,Lleida,227,1467782,01/02/2005,Carmen
99,Industrial,Alquiler,Girona,251,2067236,22/12/2004,Maria
100,Local,Alquiler,Tarragona,125,531375,23/06/2004,Jesus
101,Suelo,Alquiler,Girona,162,710694,27/09/2004,Maria
102,Local,Venta,Barcelona,45,438435,23/05/2004,Luisa
103,Casa,Alquiler,Girona,258,1188090,19/07/2004,Maria
104,Oficina,Venta,Tarragona,104,699400,14/07/2004,Luisa
105,Piso,Alquiler,Girona,238,1854496,02/02/2005,Luisa
106,Piso,Alquiler,Lleida,300,2105700,26/01/2005,Pedro
107,Suelo,Alquiler,Girona,222,1791318,13/12/2004,Jesus
108,Suelo,Alquiler,Tarragona,187,1782297,20/12/2004,Joaquin
109,Suelo,Alquiler,Barcelona,300,1528200,09/08/2004,Pedro
110,Parking,Venta,Barcelona,206,1587642,20/12/2004,Luisa
111,Suelo,Alquiler,Tarragona,162,954666,25/11/2004,Joaquin
112,Local,Alquiler,Lleida,160,1064800,22/09/2004,Pedro
113,Suelo,Alquiler,Barcelona,89,887241,02/01/2005,Luisa
114,Suelo,Venta,Girona,103,806799,11/01/2005,Joaquin
115,Industrial,Venta,Tarragona,54,438750,15/08/2004,Carmen
116,Parking,Venta,Girona,103,973659,04/01/2005,Jesus
117,Oficina,Venta,Girona,274,1724008,26/09/2004,Joaquin
118,Oficina,Venta,Girona,253,2047276,10/09/2004,Luisa
119,Parking,Venta,Lleida,51,307989,06/07/2004,Pedro
120,Piso,Venta,Tarragona,174,973878,13/12/2004,Jesus
121,Parking,Venta,Barcelona,152,688864,06/12/2004,Jesus
122,Casa,Alquiler,Barcelona,270,1385910,05/02/2005,Pedro
123,Local,Alquiler,Girona,179,1461356,30/07/2004,Pedro
124,Suelo,Alquiler,Tarragona,212,926228,05/09/2004,Joaquin
125,Industrial,Venta,Girona,118,1067192,25/08/2004,Carmen
126,Industrial,Venta,Tarragona,194,1373132,31/08/2004,Maria
127,Industrial,Venta,Barcelona,139,1087119,29/05/2004,Jesus
128,Casa,Venta,Tarragona,130,1230190,04/01/2005,Luisa
129,Parking,Alquiler,Lleida,206,1363926,08/01/2005,Carmen
130,Oficina,Venta,Tarragona,216,1389096,23/11/2004,Luisa
131,Local,Venta,Lleida,55,477345,04/09/2004,Carmen
132,Oficina,Venta,Tarragona,190,1268630,04/12/2004,Jesus
133,Suelo,Alquiler,Tarragona,62,391964,14/11/2004,Pedro
134,Oficina,Alquiler,Tarragona,275,1765225,20/02/2005,Joaquin
135,Local,Venta,Lleida,45,229455,05/10/2004,Jesus
136,Oficina,Alquiler,Lleida,105,624435,24/06/2004,Joaquin
137,Casa,Venta,Barcelona,119,686154,19/01/2005,Pedro
138,Industrial,Venta,Girona,88,678480,28/12/2004,Luisa
139,Local,Alquiler,Tarragona,63,533925,22/09/2004,Joaquin
140,Piso,Venta,Barcelona,222,1076034,02/06/2004,Maria
141,Suelo,Venta,Barcelona,47,455477,31/12/2004,Joaquin
142,Oficina,Venta,Tarragona,123,1128156,23/09/2004,Pedro
143,Oficina,Alquiler,Tarragona,134,1310520,28/12/2004,Maria
144,Parking,Alquiler,Barcelona,121,782870,19/11/2004,Pedro
145,Piso,Venta,Girona,50,315550,14/10/2004,Pedro
146,Parking,Venta,Girona,274,2028970,20/08/2004,Luisa
147,Parking,Alquiler,Barcelona,76,734388,28/05/2004,Joaquin
148,Local,Venta,Barcelona,109,779241,30/05/2004,Maria
149,Piso,Venta,Lleida,249,1492506,12/02/2005,Luisa
150,Casa,Alquiler,Lleida,212,1800516,19/12/2004,Jesus
151,Oficina,Alquiler,Lleida,128,1259904,02/10/2004,Luisa
152,Oficina,Venta,Tarragona,172,1063648,13/02/2005,Maria
153,Piso,Venta,Lleida,68,434656,13/07/2004,Maria
154,Industrial,Alquiler,Lleida,52,508924,03/09/2004,Pedro
155,Suelo,Alquiler,Girona,185,1403595,02/10/2004,Pedro
156,Casa,Venta,Girona,284,1561432,01/07/2004,Pedro
157,Oficina,Venta,Tarragona,202,1891932,02/10/2004,Maria
158,Casa,Alquiler,Lleida,100,731700,10/10/2004,Luisa
159,Local,Venta,Lleida,106,563178,01/08/2004,Pedro
160,Casa,Venta,Tarragona,211,875228,23/07/2004,Maria
161,Suelo,Venta,Tarragona,165,1305480,29/07/2004,Jesus
162,Piso,Alquiler,Lleida,251,1361675,16/08/2004,Jesus
163,Local,Venta,Tarragona,266,1161090,23/11/2004,Carmen
164,Oficina,Alquiler,Girona,287,1395681,13/09/2004,Carmen
165,Industrial,Venta,Tarragona,104,1001104,11/10/2004,Luisa
166,Oficina,Venta,Tarragona,250,2275500,29/07/2004,Luisa
167,Parking,Venta,Girona,169,1370759,14/01/2005,Luisa
168,Suelo,Venta,Lleida,221,1842035,15/10/2004,Joaquin
169,Industrial,Alquiler,Barcelona,286,2080078,14/07/2004,Jesus
170,Suelo,Alquiler,Lleida,73,597286,20/02/2005,Joaquin
171,Suelo,Venta,Girona,144,1358640,13/11/2004,Joaquin
172,Piso,Alquiler,Tarragona,108,558252,19/10/2004,Maria
173,Oficina,Venta,Girona,268,2400476,08/03/2005,Joaquin
174,Piso,Alquiler,Lleida,143,1131416,25/08/2004,Joaquin
175,Local,Venta,Barcelona,52,416936,25/08/2004,Carmen
176,Industrial,Alquiler,Lleida,193,1658835,30/08/2004,Jesus
177,Suelo,Venta,Tarragona,148,1431012,01/09/2004,Jesus
178,Local,Venta,Tarragona,118,513300,26/10/2004,Maria
179,Industrial,Venta,Barcelona,156,848328,27/02/2005,Jesus
180,Suelo,Alquiler,Tarragona,201,1874928,21/06/2004,Jesus
181,Oficina,Venta,Tarragona,42,367584,11/08/2004,Joaquin
182,Local,Alquiler,Tarragona,162,1323054,25/08/2004,Joaquin
183,Local,Alquiler,Girona,231,1446522,02/09/2004,Carmen
184,Suelo,Venta,Tarragona,273,1447992,24/10/2004,Pedro
185,Industrial,Venta,Barcelona,265,2109930,27/08/2004,Maria
186,Casa,Alquiler,Girona,87,779868,23/10/2004,Jesus
187,Local,Alquiler,Barcelona,95,919030,10/12/2004,Maria
188,Casa,Venta,Lleida,63,537264,08/02/2005,Carmen
189,Parking,Venta,Girona,160,1261600,25/10/2004,Jesus
190,Parking,Alquiler,Lleida,95,448210,25/10/2004,Pedro
191,Suelo,Alquiler,Tarragona,71,431325,23/07/2004,Carmen
192,Local,Venta,Girona,56,553616,09/03/2005,Pedro
193,Suelo,Venta,Tarragona,59,453651,07/10/2004,Maria
194,Local,Alquiler,Girona,117,986895,14/09/2004,Pedro
195,Piso,Venta,Girona,62,250852,21/07/2004,Carmen
196,Piso,Alquiler,Barcelona,281,1336717,10/11/2004,Carmen
197,Piso,Venta,Tarragona,87,519738,13/01/2005,Carmen
198,Oficina,Alquiler,Girona,174,720882,14/08/2004,Pedro
199,Oficina,Venta,Lleida,177,842343,10/03/2005,Maria
200,Parking,Venta,Tarragona,281,2108343,26/09/2004,Pedro
201,Parking,Venta,Girona,247,1050985,09/11/2004,Pedro
202,Piso,Alquiler,Girona,52,298272,13/08/2004,Maria
203,Local,Alquiler,Girona,169,902798,16/07/2004,Luisa
204,Local,Alquiler,Barcelona,106,692180,09/11/2004,Luisa
205,Local,Venta,Girona,274,2002392,04/12/2004,Luisa
206,Piso,Alquiler,Lleida,250,2253500,21/02/2005,Joaquin
207,Piso,Alquiler,Lleida,134,1338124,19/08/2004,Luisa
208,Casa,Venta,Lleida,156,1369680,27/09/2004,Pedro
209,Parking,Venta,Lleida,167,1643948,21/09/2004,Maria
210,Oficina,Alquiler,Lleida,206,1297594,03/03/2005,Carmen
211,Parking,Alquiler,Barcelona,269,2134246,11/08/2004,Carmen
212,Casa,Alquiler,Barcelona,63,492156,25/10/2004,Carmen
213,Suelo,Alquiler,Lleida,223,1932518,19/01/2005,Pedro
214,Industrial,Venta,Girona,163,1385011,26/08/2004,Carmen
215,Parking,Alquiler,Girona,214,1219158,13/07/2004,Pedro
216,Industrial,Venta,Tarragona,263,1494892,02/02/2005,Maria
217,Industrial,Alquiler,Lleida,216,1398600,03/11/2004,Luisa
218,Suelo,Alquiler,Tarragona,65,461435,31/12/2004,Carmen
219,Industrial,Alquiler,Girona,46,351256,28/03/2005,Luisa
220,Industrial,Alquiler,Lleida,209,1042283,17/09/2004,Jesus
221,Casa,Alquiler,Barcelona,56,474600,27/08/2004,Pedro
222,Local,Alquiler,Girona,82,420660,02/10/2004,Maria
223,Suelo,Alquiler,Girona,62,489924,09/09/2004,Luisa
224,Oficina,Venta,Tarragona,192,1032000,21/08/2004,Luisa
225,Parking,Alquiler,Barcelona,152,1069320,15/12/2004,Jesus
226,Local,Alquiler,Tarragona,182,1133132,29/08/2004,Joaquin
227,Casa,Venta,Lleida,179,1670965,09/09/2004,Luisa
228,Local,Venta,Girona,211,2010619,12/11/2004,Jesus
229,Oficina,Venta,Tarragona,117,739206,25/01/2005,Carmen
230,Oficina,Alquiler,Tarragona,186,1382166,01/03/2005,Pedro
231,Local,Alquiler,Barcelona,143,665951,18/02/2005,Pedro
232,Oficina,Venta,Tarragona,212,1479548,03/11/2004,Maria
233,Local,Alquiler,Girona,246,1362348,05/10/2004,Joaquin
234,Suelo,Venta,Girona,230,1722700,26/03/2005,Carmen
235,Suelo,Venta,Lleida,126,848358,02/11/2004,Pedro
236,Industrial,Venta,Girona,226,2104286,26/08/2004,Carmen
237,Piso,Venta,Tarragona,262,1748850,07/10/2004,Pedro
238,Casa,Alquiler,Barcelona,170,995520,01/02/2005,Jesus
239,Piso,Alquiler,Lleida,268,2338032,02/01/2005,Pedro
240,Parking,Venta,Barcelona,164,1298716,03/12/2004,Luisa
241,Local,Venta,Lleida,260,2038660,26/07/2004,Carmen
242,Suelo,Venta,Barcelona,69,656535,16/08/2004,Jesus
243,Local,Venta,Lleida,298,1870546,31/03/2005,Luisa
244,Local,Alquiler,Tarragona,284,1431076,22/12/2004,Maria
245,Casa,Venta,Barcelona,239,1176597,07/07/2004,Joaquin
246,Local,Venta,Girona,287,1936102,08/04/2005,Jesus
247,Industrial,Alquiler,Barcelona,159,1582527,09/12/2004,Jesus
248,Suelo,Alquiler,Girona,136,873120,26/12/2004,Pedro
249,Industrial,Venta,Tarragona,223,2026401,13/12/2004,Joaquin
250,Piso,Alquiler,Lleida,175,747075,01/02/2005,Pedro
251,Suelo,Venta,Lleida,124,1130632,22/01/2005,Pedro
252,Parking,Alquiler,Lleida,168,1622040,15/10/2004,Maria
253,Parking,Venta,Tarragona,106,567206,08/08/2004,Maria
254,Piso,Venta,Girona,67,379689,29/10/2004,Pedro
255,Local,Alquiler,Barcelona,49,424536,04/03/2005,Pedro
256,Industrial,Venta,Girona,238,1620304,05/10/2004,Carmen
257,Suelo,Alquiler,Lleida,261,1220697,09/02/2005,Carmen
258,Suelo,Alquiler,Barcelona,242,1099648,13/02/2005,Maria
259,Parking,Venta,Tarragona,138,1183212,26/02/2005,Luisa
260,Piso,Alquiler,Tarragona,258,1750014,09/12/2004,Luisa
261,Casa,Alquiler,Lleida,201,1107108,07/04/2005,Joaquin
262,Casa,Alquiler,Barcelona,181,1449629,14/09/2004,Luisa
263,Oficina,Alquiler,Barcelona,244,1006988,06/08/2004,Maria
264,Parking,Alquiler,Tarragona,258,1770912,02/03/2005,Jesus
265,Parking,Venta,Barcelona,105,927255,21/11/2004,Luisa
266,Parking,Alquiler,Tarragona,216,1125792,16/09/2004,Jesus
267,Casa,Venta,Girona,204,1291116,27/09/2004,Carmen
268,Industrial,Alquiler,Girona,150,968250,15/02/2005,Maria
269,Parking,Venta,Lleida,52,446888,01/09/2004,Maria
270,Parking,Alquiler,Tarragona,223,1342906,31/10/2004,Joaquin
271,Local,Alquiler,Lleida,237,1093281,02/01/2005,Jesus
272,Suelo,Venta,Lleida,270,2409210,03/09/2004,Carmen
273,Piso,Alquiler,Lleida,120,722880,14/02/2005,Joaquin
274,Piso,Alquiler,Lleida,113,1102880,17/03/2005,Jesus
275,Local,Alquiler,Girona,193,1079449,20/11/2004,Pedro
276,Oficina,Alquiler,Girona,110,1039500,17/11/2004,Pedro
277,Parking,Venta,Barcelona,209,2038586,06/01/2005,Jesus
278,Suelo,Alquiler,Girona,125,853750,25/08/2004,Carmen
279,Suelo,Venta,Girona,244,1414956,26/02/2005,Maria
280,Oficina,Venta,Barcelona,154,881804,25/08/2004,Pedro
281,Oficina,Venta,Girona,258,1081278,13/04/2005,Carmen
282,Casa,Venta,Girona,285,2534505,28/12/2004,Jesus
283,Oficina,Alquiler,Tarragona,137,1336298,27/11/2004,Pedro
284,Suelo,Alquiler,Girona,262,2404898,20/10/2004,Luisa
285,Industrial,Alquiler,Tarragona,143,712712,10/01/2005,Jesus
286,Industrial,Venta,Barcelona,65,523770,24/01/2005,Jesus
287,Industrial,Alquiler,Barcelona,225,1360800,22/07/2004,Jesus
288,Casa,Alquiler,Lleida,177,924294,19/01/2005,Luisa
289,Suelo,Venta,Lleida,163,895359,17/02/2005,Pedro
290,Oficina,Alquiler,Girona,227,1437818,27/03/2005,Jesus
291,Casa,Alquiler,Tarragona,295,1877675,11/09/2004,Pedro
292,Parking,Venta,Barcelona,54,258444,08/03/2005,Pedro
293,Parking,Venta,Girona,82,430418,09/02/2005,Luisa
294,Oficina,Venta,Girona,86,589960,18/03/2005,Carmen
295,Oficina,Venta,Girona,133,786695,21/11/2004,Luisa
296,Parking,Alquiler,Barcelona,235,1773780,28/03/2005,Pedro
297,Suelo,Alquiler,Girona,288,2699136,28/07/2004,Pedro
298,Industrial,Venta,Barcelona,106,600596,23/11/2004,Luisa
299,Industrial,Venta,Girona,45,307170,16/04/2005,Joaquin
300,Suelo,Alquiler,Tarragona,85,683230,06/02/2005,Carmen
301,Casa,Alquiler,Tarragona,178,1458176,12/02/2005,Carmen
302,Industrial,Alquiler,Girona,211,1171894,22/03/2005,Pedro
303,Oficina,Venta,Girona,209,1728221,30/08/2004,Carmen
304,Casa,Alquiler,Barcelona,298,2612566,16/02/2005,Pedro
305,Oficina,Venta,Girona,249,1150380,18/11/2004,Joaquin
306,Piso,Venta,Lleida,142,1055912,28/09/2004,Jesus
307,Industrial,Venta,Lleida,196,1645616,14/04/2005,Carmen
308,Suelo,Alquiler,Barcelona,228,1521216,16/03/2005,Carmen
309,Piso,Alquiler,Lleida,237,1763517,06/09/2004,Luisa
310,Industrial,Venta,Lleida,121,792792,23/09/2004,Pedro
311,Suelo,Venta,Lleida,61,605425,29/12/2004,Carmen
312,Industrial,Venta,Girona,189,1579284,07/01/2005,Luisa
313,Local,Alquiler,Barcelona,91,391391,13/02/2005,Luisa
314,Suelo,Alquiler,Tarragona,230,1386900,21/03/2005,Joaquin
315,Casa,Alquiler,Barcelona,251,2439971,14/02/2005,Joaquin
316,Industrial,Alquiler,Barcelona,261,2571111,07/02/2005,Carmen
317,Parking,Alquiler,Barcelona,251,1754992,26/08/2004,Jesus
318,Suelo,Alquiler,Lleida,46,440772,17/11/2004,Jesus
319,Piso,Venta,Tarragona,123,961368,04/09/2004,Luisa
320,Industrial,Alquiler,Girona,277,2456159,04/08/2004,Maria
321,Industrial,Alquiler,Girona,190,977740,12/08/2004,Pedro
322,Suelo,Venta,Barcelona,42,255906,09/11/2004,Maria
323,Parking,Venta,Barcelona,237,1592166,15/10/2004,Maria
324,Suelo,Alquiler,Barcelona,155,876060,31/12/2004,Carmen
325,Piso,Venta,Girona,60,332400,30/08/2004,Joaquin
326,Industrial,Alquiler,Barcelona,179,1227224,08/10/2004,Luisa
327,Suelo,Venta,Tarragona,180,1022040,28/03/2005,Jesus
328,Suelo,Venta,Barcelona,273,1369368,17/04/2005,Jesus
329,Industrial,Venta,Lleida,285,1922325,11/11/2004,Maria
330,Parking,Alquiler,Girona,125,1189250,26/10/2004,Pedro
331,Parking,Alquiler,Barcelona,205,990355,08/12/2004,Luisa
332,Local,Alquiler,Girona,138,877680,31/03/2005,Luisa
333,Piso,Venta,Barcelona,110,803000,25/08/2004,Jesus
334,Industrial,Alquiler,Tarragona,242,2110966,22/01/2005,Pedro
335,Piso,Venta,Lleida,148,634920,27/04/2005,Joaquin
336,Local,Alquiler,Tarragona,227,1394461,28/01/2005,Maria
337,Oficina,Venta,Girona,102,413610,15/09/2004,Pedro
338,Oficina,Alquiler,Barcelona,41,361661,28/01/2005,Carmen
339,Suelo,Alquiler,Girona,75,683175,04/09/2004,Joaquin
340,Suelo,Venta,Lleida,99,783783,01/12/2004,Jesus
341,Casa,Venta,Tarragona,229,1990697,02/11/2004,Pedro
342,Local,Alquiler,Lleida,259,1992228,21/12/2004,Pedro
343,Parking,Venta,Barcelona,175,1178100,12/11/2004,Luisa
344,Casa,Venta,Barcelona,146,1083466,19/09/2004,Jesus
345,Industrial,Alquiler,Tarragona,131,1263495,01/01/2005,Jesus
346,Local,Venta,Tarragona,202,1320676,23/12/2004,Pedro
347,Industrial,Venta,Barcelona,173,851852,18/09/2004,Carmen
348,Oficina,Alquiler,Girona,187,1560889,26/03/2005,Joaquin
349,Parking,Venta,Tarragona,234,1398852,01/11/2004,Maria
350,Oficina,Venta,Girona,103,680830,21/09/2004,Maria
351,Piso,Alquiler,Girona,75,418725,24/04/2005,Pedro
352,Casa,Venta,Tarragona,241,2060550,10/10/2004,Luisa
353,Piso,Alquiler,Tarragona,257,1980185,14/08/2004,Carmen
354,Piso,Venta,Girona,122,885476,30/03/2005,Carmen
355,Oficina,Alquiler,Tarragona,209,1181686,15/10/2004,Carmen
356,Parking,Alquiler,Lleida,154,830830,03/02/2005,Luisa
357,Suelo,Venta,Girona,196,1707944,19/08/2004,Pedro
358,Piso,Venta,Barcelona,131,1180048,04/11/2004,Joaquin
359,Parking,Venta,Lleida,130,1176630,18/03/2005,Jesus
360,Local,Venta,Barcelona,156,896220,19/03/2005,Luisa
361,Local,Venta,Lleida,291,1505925,10/03/2005,Luisa
362,Casa,Venta,Lleida,141,732495,02/12/2004,Luisa
363,Suelo,Alquiler,Girona,68,378624,30/03/2005,Carmen
364,Local,Venta,Lleida,267,1257036,26/12/2004,Luisa
365,Local,Alquiler,Tarragona,137,673355,16/10/2004,Maria
366,Oficina,Venta,Lleida,137,961192,10/05/2005,Jesus
367,Industrial,Alquiler,Lleida,76,501220,24/03/2005,Jesus
368,Casa,Venta,Girona,80,354320,18/10/2004,Carmen
369,Casa,Alquiler,Barcelona,149,1238339,27/12/2004,Luisa
370,Suelo,Alquiler,Tarragona,285,1377975,14/09/2004,Jesus
371,Oficina,Venta,Barcelona,230,1109980,08/12/2004,Luisa
372,Parking,Alquiler,Lleida,163,1317529,03/05/2005,Luisa
373,Suelo,Alquiler,Barcelona,131,822811,21/05/2005,Pedro
374,Piso,Alquiler,Tarragona,167,895287,13/11/2004,Jesus
375,Local,Venta,Tarragona,230,1398630,10/04/2005,Maria
376,Industrial,Alquiler,Lleida,247,1210053,04/09/2004,Jesus
377,Oficina,Alquiler,Barcelona,105,525210,16/04/2005,Pedro
378,Suelo,Alquiler,Girona,280,1680000,17/09/2004,Maria
379,Piso,Venta,Girona,108,812808,13/10/2004,Jesus
380,Local,Venta,Lleida,269,2586704,27/03/2005,Carmen
381,Casa,Venta,Girona,123,775884,21/10/2004,Joaquin
382,Suelo,Alquiler,Lleida,264,2582184,24/04/2005,Luisa
383,Industrial,Alquiler,Lleida,298,1331166,28/12/2004,Joaquin
384,Parking,Venta,Barcelona,200,1823400,20/10/2004,Joaquin
385,Parking,Venta,Barcelona,197,1746405,20/03/2005,Luisa
386,Parking,Alquiler,Girona,184,830760,13/09/2004,Pedro
387,Oficina,Venta,Barcelona,119,486472,04/09/2004,Joaquin
388,Parking,Alquiler,Girona,137,835152,13/02/2005,Jesus
389,Oficina,Alquiler,Tarragona,196,882784,02/02/2005,Luisa
390,Parking,Alquiler,Tarragona,65,389350,10/12/2004,Luisa
391,Suelo,Venta,Girona,300,1483500,29/03/2005,Carmen
392,Piso,Alquiler,Barcelona,202,1560450,06/02/2005,Jesus
393,Piso,Venta,Girona,225,1164375,04/03/2005,Pedro
394,Local,Alquiler,Barcelona,203,946792,17/04/2005,Maria
395,Casa,Alquiler,Girona,192,1159296,23/05/2005,Carmen
396,Parking,Alquiler,Lleida,296,1602544,07/09/2004,Jesus
397,Parking,Venta,Barcelona,177,933321,10/05/2005,Joaquin
398,Industrial,Venta,Girona,72,427824,08/11/2004,Luisa
399,Industrial,Venta,Tarragona,65,483860,24/01/2005,Pedro
400,Parking,Venta,Tarragona,208,1225120,22/01/2005,Carmen
401,Piso,Alquiler,Barcelona,271,2682900,02/06/2005,Pedro
402,Industrial,Alquiler,Lleida,278,2188138,21/01/2005,Maria
403,Piso,Venta,Girona,90,770040,26/04/2005,Jesus
404,Casa,Alquiler,Lleida,72,702576,22/03/2005,Carmen
405,Local,Venta,Tarragona,224,1804992,20/01/2005,Jesus
406,Oficina,Venta,Barcelona,207,1883700,23/02/2005,Carmen
407,Industrial,Venta,Barcelona,162,1383480,16/12/2004,Maria
